,Nbrpieces,Nbr_salle_deB,superficie,addresse
527,4,2,200,"Dakar, Sénégal"
529,4,3,12,"Almadies, Dakar, Sénégal"
533,4,2,1,"Sicap foire, Dakar, Sénégal"
535,4,3,200,"Ngor, Dakar, Sénégal"
537,4,3,12,"Dakar Plateau, Dakar, Sénégal"
538,4,4,200,"Mermoz-Sacré Coeur, Dakar, Sénégal"
540,4,3,12,"Almadies, Dakar, Sénégal"
541,4,2,12,"Sacré-Coeur, Dakar, Sénégal"
543,4,3,160,"Point E, Dakar, Sénégal"
546,2,3,100,"Mermoz-Sacré Coeur, Dakar, Sénégal"
547,3,2,85,"Mermoz-Sacré Coeur, Dakar, Sénégal"
548,2,2,80,"Mermoz-Sacré Coeur, Dakar, Sénégal"
549,2,2,75,"Mermoz-Sacré Coeur, Dakar, Sénégal"
550,4,4,200,"Point E, Dakar, Sénégal"
553,5,3,120,"Mermoz-Sacré Coeur, Dakar, Sénégal"
556,8,4,240,"Almadies, Dakar, Sénégal"
557,4,4,150,"Point E, Dakar, Sénégal"
558,4,3,100,"Almadies, Dakar, Sénégal"
559,3,2,80,"Almadies, Dakar, Sénégal"
560,3,2,150,"Grand Yoff, Dakar, Sénégal"
561,4,3,200,"Ngor, Dakar, Sénégal"
562,3,3,200,"Rufisque, Sénégal"
563,2,2,110,"Parcelle Assainies, Dakar, Sénégal"
566,3,2,25,"Sicap Liberté, Dakar, Sénégal"
569,4,3,160,"Mermoz-Sacré Coeur, Dakar, Sénégal"
571,3,1,1,"Dakar Plateau, Dakar, Sénégal"
572,2,2,75,"Mermoz-Sacré Coeur, Dakar, Sénégal"
575,5,3,12,"Dakar Plateau, Dakar, Sénégal"
579,3,3,1,"Mermoz-Sacré Coeur, Dakar, Sénégal"
580,3,2,150,"Sicap foire, Dakar, Sénégal"
581,3,2,1,"Mermoz-Sacré Coeur, Dakar, Sénégal"
582,4,3,150,"Ngor, Dakar, Sénégal"
585,4,2,140,"Mamelles, Dakar, Sénégal"
587,4,3,180,"Sicap Liberté, Dakar, Sénégal"
588,3,2,250,"Sicap Liberté, Dakar, Sénégal"
591,4,3,191,"Sacré-Coeur, Dakar, Sénégal"
593,4,4,220,"Sicap Liberté, Dakar, Sénégal"
594,5,4,12,"Dakar Plateau, Dakar, Sénégal"
595,4,3,300,"Sicap Liberté, Dakar, Sénégal"
598,4,3,12,"Almadies, Dakar, Sénégal"
599,6,3,200,"Sicap Liberté, Dakar, Sénégal"
600,2,3,155,"Ngor, Dakar, Sénégal"
604,4,5,191,"Sacré-Coeur, Dakar, Sénégal"
605,4,4,13,"Dakar Plateau, Dakar, Sénégal"
606,4,4,160,"Sicap Liberté, Dakar, Sénégal"
607,4,4,155,"Sicap Liberté, Dakar, Sénégal"
611,3,3,1111,"Fann-Point E-Amitié, Dakar, Sénégal"
614,3,3,1,"Mamelles, Dakar, Sénégal"
616,4,5,2000,"Almadies, Dakar, Sénégal"
619,4,4,1,"Sicap foire, Dakar, Sénégal"
621,2,1,150,"Ouest Foire, Dakar, Sénégal"
623,4,3,250,"Sicap Liberté, Dakar, Sénégal"
624,4,3,250,"Sicap Liberté, Dakar, Sénégal"
625,4,4,200,"Sicap Liberté, Dakar, Sénégal"
626,4,3,200,"Sicap Liberté, Dakar, Sénégal"
627,4,3,200,"Sicap Liberté, Dakar, Sénégal"
630,4,2,150,"Dakar, Sénégal"
631,3,3,130,"Ngor, Dakar, Sénégal"
632,4,4,168,"Sicap Liberté, Dakar, Sénégal"
633,3,4,190,"Point E, Dakar, Sénégal"
634,5,5,12,"Dakar Plateau, Dakar, Sénégal"
637,3,3,1,"Mermoz-Sacré Coeur, Dakar, Sénégal"
638,4,4,170,"Mamelles, Dakar, Sénégal"
639,3,2,12,"Almadies, Dakar, Sénégal"
640,5,3,625,"Fatick, Sénégal"
641,3,2,12,"Almadies, Dakar, Sénégal"
642,4,3,12,"Sicap Liberté, Dakar, Sénégal"
643,3,2,150,"Yoff, Dakar, Sénégal"
644,4,2,150,"Keur Massar, Sénégal"
645,2,2,80,"Ngor, Dakar, Sénégal"
648,5,5,250,"Ouakam, Dakar, Sénégal"
650,4,3,1,"Almadies, Dakar, Sénégal"
651,4,4,187,"Point E, Dakar, Sénégal"
652,3,2,80,"Guediawaye, Dakar, Sénégal"
654,5,3,150,"Dakar, Sénégal"
655,4,4,200,"Mermoz-Sacré Coeur, Dakar, Sénégal"
656,3,2,100,"Mariste, Dakar, Sénégal"
657,3,2,12,"Almadies, Dakar, Sénégal"
662,3,2,150,"Almadies 2, Dakar, Sénégal"
663,3,2,12,"Almadies, Dakar, Sénégal"
667,3,2,12,"Almadies, Dakar, Sénégal"
668,2,2,150,"Rufisque, Sénégal"
669,6,4,385,"Almadies, Dakar, Sénégal"
670,3,3,150,"Keur Massar, Sénégal"
671,5,5,230,"Yoff, Dakar, Sénégal"
672,3,2,12,"Sicap Liberté, Dakar, Sénégal"
678,3,2,100,"Keur Massar, Sénégal"
679,4,3,180,"Sicap Liberté, Dakar, Sénégal"
682,3,3,12,"Fann, Dakar, Sénégal"
683,4,3,250,"Dakar, Sénégal"
684,3,2,175,"Sacré-Coeur, Dakar, Sénégal"
685,4,4,250,"Ouakam, Dakar, Sénégal"
689,3,2,150,"Sicap Liberté, Dakar, Sénégal"
690,4,4,340,"Sacré-Coeur, Dakar, Sénégal"
692,2,1,155,"Mamelles, Dakar, Sénégal"
694,2,2,12,"Mermoz-Sacré Coeur, Dakar, Sénégal"
696,2,2,150,"Almadies, Dakar, Sénégal"
697,4,3,150,"Mamelles, Dakar, Sénégal"
699,2,2,300,"Thies, Sénégal"
700,7,3,50,"Mermoz-Sacré Coeur, Dakar, Sénégal"
701,3,3,200,"Point E, Dakar, Sénégal"
703,4,3,200,"Point E, Dakar, Sénégal"
704,4,4,160,"Sacré-Coeur, Dakar, Sénégal"
705,4,2,100,"Dakar, Sénégal"
709,3,3,75,"Grand Dakar, Dakar, Sénégal"
710,2,2,55,"Almadies, Dakar, Sénégal"
712,4,3,180,"Mariste, Dakar, Sénégal"
713,3,3,120,"Sicap Liberté, Dakar, Sénégal"
714,4,5,160,"Dakar, Sénégal"
715,4,2,1,"Sicap foire, Dakar, Sénégal"
716,3,2,1,"Sacré-Coeur, Dakar, Sénégal"
717,3,2,1,"Djily MBaye, Dakar, Sénégal"
718,3,2,1,"Patte d'oie, Dakar, Sénégal"
719,2,3,1,"Ngor, Dakar, Sénégal"
720,4,2,1,"Mamelles, Dakar, Sénégal"
721,3,1,1,"Mamelles, Dakar, Sénégal"
724,4,2,1,"Ouest Foire, Dakar, Sénégal"
726,5,3,110,"Mermoz-Sacré Coeur, Dakar, Sénégal"
727,4,2,1,"Parcelle Assainies, Dakar, Sénégal"
729,4,3,147,"Almadies, Dakar, Sénégal"
730,4,2,1,"Mamelles, Dakar, Sénégal"
732,3,1,1,"Ouest Foire, Dakar, Sénégal"
733,2,1,1,"Ouest Foire, Dakar, Sénégal"
734,3,1,1,"Almadies, Dakar, Sénégal"
735,4,2,1,"Sipres, Dakar, Sénégal"
736,2,2,1,"Djily MBaye, Dakar, Sénégal"
737,2,2,1,"Ouakam, Dakar, Sénégal"
738,4,2,1,"Mermoz-Sacré Coeur, Dakar, Sénégal"
739,2,2,150,"Mamelles, Dakar, Sénégal"
745,3,1,1,"Mamelles, Dakar, Sénégal"
748,3,1,98,"Parcelle Assainies, Dakar, Sénégal"
750,3,1,1,"Almadies, Dakar, Sénégal"
751,3,1,1,"Almadies, Dakar, Sénégal"
752,3,1,1,"Parcelle Assainies, Dakar, Sénégal"
757,4,2,150,"Sacré-Coeur, Dakar, Sénégal"
759,3,3,200,"Mermoz-Sacré Coeur, Dakar, Sénégal"
764,5,5,400,"Ngor, Dakar, Sénégal"
765,4,4,130,"Dakar, Sénégal"
766,3,3,150,"Rufisque, Sénégal"
