,supercie,prix,Addresse,image_lien
91,350 ,12000000,Mboro Sénégal,https://images.coinafrique.com/thumb_3743326_uploaded_image1_1655291029.jpg
92,200 ,12000000,Almadies 2 Dakar,https://images.coinafrique.com/thumb_3743326_uploaded_image1_1655291029.jpg
93,3500000 m2,3500000,Niaga Sénégal,https://images.coinafrique.com/thumb_3743326_uploaded_image1_1655291029.jpg
94,200 m2,8500000,Dakar Sénégal,https://images.coinafrique.com/thumb_3743326_uploaded_image1_1655291029.jpg
95,206 m2,55000000,Mermoz-Sacré Coeur Dakar,https://images.coinafrique.com/thumb_3743326_uploaded_image1_1655291029.jpg
96,150 ,18750000,Dakar Sénégal,https://images.coinafrique.com/thumb_3743326_uploaded_image1_1655291029.jpg
97,40 ,6000000,Almadies 2 Dakar,https://images.coinafrique.com/thumb_3743326_uploaded_image1_1655291029.jpg
98,4000 m2,4000000,Diamniadio Sénégal,https://images.coinafrique.com/thumb_3743326_uploaded_image1_1655291029.jpg
99,150 m2,13000000,Rufisque Sénégal,https://images.coinafrique.com/thumb_3743326_uploaded_image1_1655291029.jpg
100,18650 m2,Prixsurdemande,Rufisque Sénégal,https://images.coinafrique.com/thumb_3743326_uploaded_image1_1655291029.jpg
101,310 m2,160000000,Yoff Dakar,https://images.coinafrique.com/thumb_3743326_uploaded_image1_1655291029.jpg
102,5,225000000,Mamelles Dakar,https://images.coinafrique.com/thumb_3743326_uploaded_image1_1655291029.jpg
103,150 m2,3000000,Lac rose Sénégal,https://images.coinafrique.com/thumb_3743326_uploaded_image1_1655291029.jpg
104,200 m2,2500000,Ndiass Sénégal,https://images.coinafrique.com/thumb_3743326_uploaded_image1_1655291029.jpg
105,2000 ,1200000000,Almadies Dakar,https://images.coinafrique.com/thumb_3743326_uploaded_image1_1655291029.jpg
106,300 ,4000000,Toubab Dialao Sénégal,https://images.coinafrique.com/thumb_3743326_uploaded_image1_1655291029.jpg
107,645 ,700000000,Almadies Dakar,https://images.coinafrique.com/thumb_3743326_uploaded_image1_1655291029.jpg
108,200 m2,2500000,Dakar Sénégal,https://images.coinafrique.com/thumb_3743326_uploaded_image1_1655291029.jpg
109,10900 m2,170000000,Diamniadio Sénégal,https://images.coinafrique.com/thumb_3743326_uploaded_image1_1655291029.jpg
110,300 ,130000000,Dieuppeul-Derklé Dakar,https://images.coinafrique.com/thumb_3743326_uploaded_image1_1655291029.jpg
111,150 m2,13000000,Rufisque Sénégal,https://images.coinafrique.com/thumb_3743326_uploaded_image1_1655291029.jpg
112,150 m2,22000000,Guediawaye Dakar,https://images.coinafrique.com/thumb_3743326_uploaded_image1_1655291029.jpg
113,2200 m2,1870000000,Dakar Sénégal,https://images.coinafrique.com/thumb_3743326_uploaded_image1_1655291029.jpg
114,5,200000000,Saly Sénégal,https://images.coinafrique.com/thumb_3743326_uploaded_image1_1655291029.jpg
115,500 m2,7000000,Toubab Dialao Sénégal,https://images.coinafrique.com/thumb_3743326_uploaded_image1_1655291029.jpg
116,1080 ,1100000000,Dakar Plateau Dakar,https://images.coinafrique.com/thumb_3743326_uploaded_image1_1655291029.jpg
117,250 m2,7000000,Toubab Dialao Sénégal,https://images.coinafrique.com/thumb_3743326_uploaded_image1_1655291029.jpg
118,1000 ,1600000,Sicap Liberté Dakar,https://images.coinafrique.com/thumb_3743326_uploaded_image1_1655291029.jpg
119,650 ,1200000,Almadies Dakar,https://images.coinafrique.com/thumb_3743326_uploaded_image1_1655291029.jpg
120,150 ,4000000,Rufisque Sénégal,https://images.coinafrique.com/thumb_3743326_uploaded_image1_1655291029.jpg
121,1371 ,110000000,Saly Sénégal,https://images.coinafrique.com/thumb_3743326_uploaded_image1_1655291029.jpg
122,450 ,1050000000,Mermoz-Sacré Coeur Dakar,https://images.coinafrique.com/thumb_3743326_uploaded_image1_1655291029.jpg
123,400 ,170000000,Almadies Dakar,https://images.coinafrique.com/thumb_3743326_uploaded_image1_1655291029.jpg
124,621 ,600000000,Ouakam Dakar,https://images.coinafrique.com/thumb_3743326_uploaded_image1_1655291029.jpg
125,1192 ,100000000,Ngaparou Sénégal,https://images.coinafrique.com/thumb_3743326_uploaded_image1_1655291029.jpg
126,1586 ,1586000000,Ouakam Dakar,https://images.coinafrique.com/thumb_3743326_uploaded_image1_1655291029.jpg
127,350 ,220000000,Ouest Foire Dakar,https://images.coinafrique.com/thumb_3743326_uploaded_image1_1655291029.jpg
128,733 ,660000000,Yoff Dakar,https://images.coinafrique.com/thumb_3743326_uploaded_image1_1655291029.jpg
129,205 ,165000000,Sipres Dakar,https://images.coinafrique.com/thumb_3743326_uploaded_image1_1655291029.jpg
130,205 ,160000000,Sacré-Coeur Dakar,https://images.coinafrique.com/thumb_3743326_uploaded_image1_1655291029.jpg
131,300 m2,1500000,Dakar Sénégal,https://images.coinafrique.com/thumb_3743326_uploaded_image1_1655291029.jpg
132,225 m2,15000000,Thies Sénégal,https://images.coinafrique.com/thumb_3743326_uploaded_image1_1655291029.jpg
133,400 ,160000000,Almadies Dakar,https://images.coinafrique.com/thumb_3743326_uploaded_image1_1655291029.jpg
134,150 ,15000000,Rufisque Sénégal,https://images.coinafrique.com/thumb_3743326_uploaded_image1_1655291029.jpg
135,200 m2,1500000,Dakar Sénégal,https://images.coinafrique.com/thumb_3743326_uploaded_image1_1655291029.jpg
136,225 ,350000,Thies Sénégal,https://images.coinafrique.com/thumb_3743326_uploaded_image1_1655291029.jpg
137,200 ,3500000,Thies Sénégal,https://images.coinafrique.com/thumb_3743326_uploaded_image1_1655291029.jpg
138,175 ,65000000,Sicap Liberté Dakar,https://images.coinafrique.com/thumb_3743326_uploaded_image1_1655291029.jpg
139,150 ,5000000,Lac rose Sénégal,https://images.coinafrique.com/thumb_3743326_uploaded_image1_1655291029.jpg
140,150 ,13000000,Rufisque Sénégal,https://images.coinafrique.com/thumb_3743326_uploaded_image1_1655291029.jpg
141,225 ,1400000,Ndiass Sénégal,https://images.coinafrique.com/thumb_3743326_uploaded_image1_1655291029.jpg
142,5,70000000,Sicap foire Dakar,https://images.coinafrique.com/thumb_3743326_uploaded_image1_1655291029.jpg
143,195 m2,80000000,Ngor Dakar,https://images.coinafrique.com/thumb_3743326_uploaded_image1_1655291029.jpg
144,206 ,85000000,Djily MBaye Dakar,https://images.coinafrique.com/thumb_3743326_uploaded_image1_1655291029.jpg
145,150 m2,14000000,Rufisque Sénégal,https://images.coinafrique.com/thumb_3743326_uploaded_image1_1655291029.jpg
146,269 m2,155000000,Sicap Liberté Dakar,https://images.coinafrique.com/thumb_3743326_uploaded_image1_1655291029.jpg
147,150 ,2500000,Rufisque Sénégal,https://images.coinafrique.com/thumb_3743326_uploaded_image1_1655291029.jpg
148,202 ,13500000,Dakar Sénégal,https://images.coinafrique.com/thumb_3743326_uploaded_image1_1655291029.jpg
149,180 m2,60000000,Ouakam Dakar,https://images.coinafrique.com/thumb_3743326_uploaded_image1_1655291029.jpg
150,600 ,300000000,Almadies Dakar,https://images.coinafrique.com/thumb_3743326_uploaded_image1_1655291029.jpg
151,200 ,55000000,Ouest Foire Dakar,https://images.coinafrique.com/thumb_3743326_uploaded_image1_1655291029.jpg
152,225 m2,300000,Thies Sénégal,https://images.coinafrique.com/thumb_3743326_uploaded_image1_1655291029.jpg
153,300 ,7000000,Rufisque Sénégal,https://images.coinafrique.com/thumb_3743326_uploaded_image1_1655291029.jpg
154,250 m2,5000000,Toubab Dialao Sénégal,https://images.coinafrique.com/thumb_3743326_uploaded_image1_1655291029.jpg
155,400 ,400000000,Dakar Plateau Dakar,https://images.coinafrique.com/thumb_3743326_uploaded_image1_1655291029.jpg
156,1000 m2,1000000000,Mermoz-Sacré Coeur Dakar,https://images.coinafrique.com/thumb_3743326_uploaded_image1_1655291029.jpg
157,348 ,12000000,Mbour Sénégal,https://images.coinafrique.com/thumb_3743326_uploaded_image1_1655291029.jpg
158,150 ,12000000,Guediawaye Dakar,https://images.coinafrique.com/thumb_3743326_uploaded_image1_1655291029.jpg
159,300 ,40000000,Rufisque Sénégal,https://images.coinafrique.com/thumb_3762580_uploaded_image1_1656451293.jpg
160,150 m2,950000,Mbour Sénégal,https://images.coinafrique.com/thumb_3762580_uploaded_image1_1656451293.jpg
161,150 ,20000000,Guediawaye Dakar,https://images.coinafrique.com/thumb_3762580_uploaded_image1_1656451293.jpg
162,900 m2,17000000,Goudomp Sénégal,https://images.coinafrique.com/thumb_3762580_uploaded_image1_1656451293.jpg
163,212 m2,90000000,Dakar Sénégal,https://images.coinafrique.com/thumb_3762580_uploaded_image1_1656451293.jpg
164,150 ,4500000,Diamniadio Sénégal,https://images.coinafrique.com/thumb_3762580_uploaded_image1_1656451293.jpg
165,200 ,25000000,Dakar Sénégal,https://images.coinafrique.com/thumb_3762580_uploaded_image1_1656451293.jpg
166,163 m2,75000000,Dakar Sénégal,https://images.coinafrique.com/thumb_3762580_uploaded_image1_1656451293.jpg
167,165 ,14500000,Rufisque Sénégal,https://images.coinafrique.com/thumb_3762580_uploaded_image1_1656451293.jpg
168,150 ,Prixsurdemande,Rufisque Sénégal,https://images.coinafrique.com/thumb_3762580_uploaded_image1_1656451293.jpg
169,500 ,6000000,Touba Sénégal,https://images.coinafrique.com/thumb_3762580_uploaded_image1_1656451293.jpg
170,300 ,7000000,Rufisque Sénégal,https://images.coinafrique.com/thumb_3762580_uploaded_image1_1656451293.jpg
171,100000 ,35000,Diamniadio Sénégal,https://images.coinafrique.com/thumb_3762580_uploaded_image1_1656451293.jpg
172,300 ,65000000,Yoff Dakar,https://images.coinafrique.com/thumb_3762580_uploaded_image1_1656451293.jpg
173,150 ,90000000,Dakar Sénégal,https://images.coinafrique.com/thumb_3762580_uploaded_image1_1656451293.jpg
174,350 m2,10000000,Sicap Liberté Dakar,https://images.coinafrique.com/thumb_3762580_uploaded_image1_1656451293.jpg
175,180 ,55000000,Biscuiterie Dakar,https://images.coinafrique.com/thumb_3762580_uploaded_image1_1656451293.jpg
176,225 m2,9000000,Mbour Sénégal,https://images.coinafrique.com/thumb_3762580_uploaded_image1_1656451293.jpg
177,225 ,1000000,Thies Sénégal,https://images.coinafrique.com/thumb_3762580_uploaded_image1_1656451293.jpg
178,150 ,3000000,Keur Massar Sénégal,https://images.coinafrique.com/thumb_3762580_uploaded_image1_1656451293.jpg
179,300 m2,1500000,Bambey Sénégal,https://images.coinafrique.com/thumb_3762580_uploaded_image1_1656451293.jpg
180,153 m2,7000000,Ouakam Dakar,https://images.coinafrique.com/thumb_3762580_uploaded_image1_1656451293.jpg
181,753 m2,580000000,Dakar Plateau Dakar,https://images.coinafrique.com/thumb_3762580_uploaded_image1_1656451293.jpg
182,40000 ,60000,Guediawaye Dakar,https://images.coinafrique.com/thumb_3762580_uploaded_image1_1656451293.jpg
183,11000 ,1500000,Ngor Dakar,https://images.coinafrique.com/thumb_3762580_uploaded_image1_1656451293.jpg
184,40000 ,11000,Diamniadio Sénégal,https://images.coinafrique.com/thumb_3762580_uploaded_image1_1656451293.jpg
